user_id,amount,merchant,category,country,device_type,payment_method,balance_before,balance_after,is_foreign_transaction,transaction_status,timestamp
48caada0,109.8,Amazon,Fuel,France,Android,Transfer,7373.54,7263.74,1,Pending,2025-07-27 07:51:02.032080
26927edf,71.7,Starbucks,Fuel,Spain,iPhone,Card,6066.85,5995.15,1,Completed,2025-10-10 23:13:52.095237
597ccd50,65.95,Spotify,Subscriptions,UK,iPhone,ApplePay,769.22,703.27,1,Failed,2025-08-02 04:33:20.715763
09c1b42c,65.95,Zara,Subscriptions,Spain,Android,Transfer,8688.53,8622.58,1,Failed,2025-07-18 18:51:41.133170
738b799d,174.75,Amazon,Entertainment,Poland,Windows,GooglePay,401.73,226.98,0,Failed,2025-08-14 10:27:58.191590
70b80322,126.05,Apple,Fuel,Spain,Windows,Card,9705.12,9579.07,1,Failed,2025-09-07 22:41:18.667159
8b761db8,51.83,Amazon,Food,Spain,iPhone,ApplePay,1981.88,1930.05,1,Failed,2025-08-12 13:41:54.242093
3cd97628,112.55,Amazon,Fuel,France,iPhone,Transfer,1997.36,1884.81,1,Failed,2025-09-03 05:52:02.456052
132e12cd,94.52,Netflix,Food,Germany,iPhone,ApplePay,4433.06,4338.54,1,Failed,2025-09-27 15:55:28.726709
11266a19,34.8,Starbucks,Entertainment,Germany,Windows,GooglePay,3054.05,3019.25,1,Pending,2025-07-21 21:31:34.083625
26dbb751,19.23,Netflix,Subscriptions,Spain,iPhone,Transfer,3063.02,3043.79,1,Pending,2025-08-01 19:21:28.647713
11170608,98.85,Netflix,Fuel,Spain,Android,Transfer,3790.35,3691.5,1,Completed,2025-09-03 22:54:44.023466
5567b9e5,167.94,Shell,Food,Germany,Android,ApplePay,2156.8,1988.86,1,Completed,2025-07-21 21:17:57.394700
c8dc4a34,66.45,Zara,Food,France,Windows,Transfer,5239.5,5173.05,1,Failed,2025-08-30 18:28:23.368226
70b80322,47.34,Spotify,Transport,Poland,MacOS,Transfer,6153.94,6106.6,0,Pending,2025-10-02 06:04:03.210540
a4722294,86.66,Amazon,Subscriptions,Spain,Android,Transfer,1871.14,1784.48,1,Failed,2025-08-28 18:26:43.248479
d9ac16f2,43.96,Netflix,Subscriptions,France,Windows,Transfer,6905.48,6861.52,1,Completed,2025-07-15 21:27:06.030033
03dfdb2d,62.5,McDonalds,Shopping,France,iPhone,Transfer,4513.49,4450.99,1,Completed,2025-09-17 17:55:04.143779
4376822d,79.19,Amazon,Subscriptions,Poland,Android,Card,537.01,457.82,0,Completed,2025-08-02 19:58:23.362342
11170608,16.54,Zara,Fuel,France,iPhone,ApplePay,9111.34,9094.8,1,Pending,2025-07-16 09:27:40.877971
0a01d0d3,129.35,Amazon,Transport,Germany,Windows,Transfer,3254.77,3125.42,1,Completed,2025-09-17 07:14:49.687098
09c1b42c,6.75,Netflix,Subscriptions,UK,MacOS,Card,5296.67,5289.92,1,Pending,2025-08-26 21:36:59.139357
3bd33b5f,0.31,Netflix,Fuel,UK,iPhone,GooglePay,9701.93,9701.62,1,Pending,2025-10-04 15:38:17.190882
b1ff94a8,91.81,McDonalds,Transport,Germany,MacOS,ApplePay,7796.3,7704.49,1,Failed,2025-09-13 01:22:00.319613
11170608,124.31,Starbucks,Transport,Spain,Android,ApplePay,1067.23,942.92,1,Completed,2025-08-24 14:59:04.716799
03dfdb2d,90.28,Spotify,Fuel,Spain,MacOS,Transfer,2120.63,2030.35,1,Failed,2025-09-18 17:58:58.327131
2fe9e4d1,73.06,Netflix,Fuel,UK,Android,ApplePay,4009.04,3935.98,1,Completed,2025-08-24 10:31:14.066494
6193540e,61.93,Starbucks,Transport,Spain,iPhone,Transfer,2859.22,2797.29,1,Pending,2025-09-16 18:25:50.572247
21898b1a,52.36,Netflix,Entertainment,Poland,Android,ApplePay,2953.16,2900.8,0,Completed,2025-09-02 08:54:19.941476
b1ff94a8,143.43,Zara,Transport,Germany,MacOS,Card,5518.42,5374.99,1,Completed,2025-09-21 04:27:36.757029
79eeaa12,99.45,IKEA,Transport,Poland,Android,GooglePay,930.6,831.15,0,Pending,2025-08-22 21:03:41.803349
11266a19,56.9,McDonalds,Shopping,UK,MacOS,Transfer,9871.49,9814.59,1,Failed,2025-09-23 04:07:36.245317
3cd97628,39.38,IKEA,Shopping,Spain,Windows,Transfer,254.12,214.74,1,Failed,2025-07-29 05:25:38.865517
37c7ba40,116.7,IKEA,Transport,Spain,Windows,GooglePay,8191.52,8074.82,1,Failed,2025-08-28 01:44:14.258992
141fca66,141.86,McDonalds,Shopping,Spain,Windows,ApplePay,7758.45,7616.59,1,Pending,2025-10-12 21:27:17.047168
8ad25e98,135.88,Zara,Shopping,Germany,iPhone,ApplePay,925.64,789.76,1,Completed,2025-07-29 13:33:01.506064
8b91d2d5,29.65,Uber,Food,Germany,Windows,GooglePay,8658.41,8628.76,1,Failed,2025-07-17 23:08:49.398417
cf772bdb,61.45,Spotify,Fuel,UK,Android,Transfer,6308.32,6246.87,1,Failed,2025-10-05 19:48:52.140398
8b91d2d5,51.25,Amazon,Entertainment,Germany,Android,ApplePay,3247.63,3196.38,1,Completed,2025-09-12 13:33:32.945706
396aea2c,68.86,Apple,Shopping,France,Windows,GooglePay,3386.8,3317.94,1,Failed,2025-08-17 17:34:28.929391
ef2d4389,128.75,IKEA,Transport,France,iPhone,ApplePay,8894.68,8765.93,1,Pending,2025-08-19 17:10:15.148201
738b799d,161.37,Starbucks,Subscriptions,Poland,Android,GooglePay,4827.71,4666.34,0,Pending,2025-08-29 18:33:25.777519
59527dd4,101.7,Amazon,Transport,Poland,iPhone,Transfer,7655.69,7553.99,0,Failed,2025-09-22 02:27:02.717568
ef2d4389,41.29,Amazon,Entertainment,Germany,iPhone,ApplePay,5700.52,5659.23,1,Completed,2025-08-12 12:56:55.355896
cd63831a,77.85,Spotify,Entertainment,Spain,MacOS,Card,5322.78,5244.93,1,Failed,2025-08-15 09:03:59.546804
48caada0,173.88,Spotify,Fuel,UK,MacOS,GooglePay,4389.9,4216.02,1,Completed,2025-08-05 17:57:08.378005
61728892,85.22,Starbucks,Transport,Spain,Windows,ApplePay,3280.69,3195.47,1,Failed,2025-09-03 15:38:05.726783
4d8fb493,62.06,Netflix,Transport,UK,Android,GooglePay,5183.99,5121.93,1,Failed,2025-08-27 06:09:25.979637
2eac0a69,66.82,Apple,Transport,Germany,iPhone,Card,4221.75,4154.93,1,Pending,2025-09-08 08:24:40.867350
df814d22,101.43,Amazon,Food,France,MacOS,ApplePay,7604.4,7502.97,1,Pending,2025-08-17 16:54:25.438235
0a4b2196,31.49,Shell,Food,Germany,iPhone,Card,9311.04,9279.55,1,Pending,2025-08-07 16:05:10.442187
3db93137,49.89,McDonalds,Fuel,UK,Windows,Card,8119.58,8069.69,1,Completed,2025-09-08 12:10:02.359256
26dbb751,134.92,Uber,Food,Spain,Android,GooglePay,8075.99,7941.07,1,Failed,2025-10-07 16:47:23.086749
4376822d,99.73,Apple,Subscriptions,Poland,iPhone,Transfer,2028.39,1928.66,0,Pending,2025-08-20 19:59:32.888671
37901d0a,85.82,Starbucks,Fuel,Spain,iPhone,GooglePay,8112.91,8027.09,1,Pending,2025-08-06 07:23:38.155540
59527dd4,138.12,Netflix,Transport,Spain,Android,Card,8981.69,8843.57,1,Failed,2025-07-21 15:12:52.422402
0a21416d,37.88,McDonalds,Subscriptions,UK,MacOS,GooglePay,2433.76,2395.88,1,Failed,2025-07-20 06:36:05.789360
ed662afa,60.34,Apple,Entertainment,Germany,Windows,ApplePay,4385.66,4325.32,1,Completed,2025-07-18 05:52:04.823169
8b761db8,97.77,Starbucks,Food,UK,iPhone,Transfer,268.13,170.36,1,Failed,2025-09-04 21:49:10.947673
37d5f8cd,95.66,McDonalds,Fuel,Germany,Android,GooglePay,5205.32,5109.66,1,Completed,2025-08-11 05:36:46.354924
0a4b2196,4.92,Uber,Entertainment,Germany,Windows,Card,1374.68,1369.76,1,Pending,2025-10-02 16:36:40.893239
6d383827,54.76,Apple,Food,France,iPhone,Transfer,3508.63,3453.87,1,Completed,2025-08-14 03:37:35.238528
af02866d,70.32,Apple,Entertainment,France,Windows,Transfer,5284.15,5213.83,1,Failed,2025-09-11 19:27:19.014586
5ee76956,104.24,McDonalds,Shopping,Germany,Android,GooglePay,7089.59,6985.35,1,Completed,2025-08-15 23:12:53.650156
2eac0a69,95.45,Uber,Shopping,Poland,Windows,Card,9631.98,9536.53,0,Failed,2025-07-21 19:25:32.490490
0a4b2196,75.53,Uber,Entertainment,France,Windows,Transfer,2667.47,2591.94,1,Completed,2025-07-19 17:34:19.377700
61728892,35.13,Starbucks,Subscriptions,UK,Windows,Card,2991.44,2956.31,1,Completed,2025-08-24 10:32:24.245604
37c7ba40,78.41,Shell,Entertainment,Spain,Windows,ApplePay,561.49,483.08,1,Pending,2025-07-17 19:53:23.565400
37d5f8cd,83.61,Apple,Food,France,MacOS,ApplePay,704.49,620.88,1,Pending,2025-08-21 00:06:38.417098
59527dd4,227.79,Uber,Transport,Poland,iPhone,GooglePay,2930.74,2702.95,0,Completed,2025-09-23 03:20:14.066084
1df89181,68.46,Apple,Shopping,Germany,MacOS,Card,1619.97,1551.51,1,Completed,2025-08-24 14:12:56.583356
ed662afa,98.09,Uber,Subscriptions,Poland,MacOS,Card,4996.64,4898.55,0,Pending,2025-09-14 07:15:02.167814
af02866d,148.57,Uber,Subscriptions,France,Windows,GooglePay,2528.85,2380.28,1,Pending,2025-07-17 23:08:49.924691
a72bf52c,125.12,Netflix,Subscriptions,Spain,Android,Transfer,7336.52,7211.4,1,Pending,2025-10-05 14:03:42.189265
599a00a2,164.17,Zara,Shopping,UK,MacOS,GooglePay,6408.59,6244.42,1,Failed,2025-07-29 20:30:54.332858
3be4bb4e,4.11,IKEA,Transport,France,Android,GooglePay,5450.59,5446.48,1,Completed,2025-08-16 12:18:28.943978
fd5030c7,20.57,Netflix,Fuel,France,Android,Card,599.6,579.03,1,Completed,2025-08-31 06:38:47.599257
5091aeba,46.02,Zara,Food,Spain,iPhone,Transfer,5990.75,5944.73,1,Failed,2025-09-16 11:29:04.728150
39785e65,13.04,Uber,Shopping,Spain,Windows,GooglePay,6522.69,6509.65,1,Completed,2025-09-20 02:51:26.725041
c44b0363,84.11,Uber,Shopping,UK,iPhone,Card,1908.79,1824.68,1,Failed,2025-08-30 04:47:19.208377
11266a19,24.83,Amazon,Shopping,Germany,iPhone,GooglePay,9379.95,9355.12,1,Completed,2025-08-25 07:03:35.706385
bfb78352,173.0,Zara,Fuel,Germany,Windows,Transfer,1547.71,1374.71,1,Completed,2025-10-03 08:58:29.265942
1df89181,33.0,Amazon,Shopping,UK,iPhone,ApplePay,9262.0,9229.0,1,Completed,2025-08-18 22:32:09.339258
39785e65,60.68,Uber,Subscriptions,Spain,iPhone,Transfer,8797.93,8737.25,1,Pending,2025-08-03 21:48:12.491091
19cc3e02,128.81,Amazon,Entertainment,Germany,Android,GooglePay,8208.78,8079.97,1,Failed,2025-07-28 12:59:28.713884
21898b1a,6.15,McDonalds,Fuel,France,Android,ApplePay,5640.97,5634.82,1,Pending,2025-08-02 17:45:01.795890
a4722294,16.45,McDonalds,Entertainment,UK,MacOS,Transfer,1112.41,1095.96,1,Completed,2025-09-29 19:43:26.112201
e0ee2924,91.08,Spotify,Food,Germany,MacOS,ApplePay,8992.71,8901.63,1,Completed,2025-08-03 07:08:24.464409
3db93137,95.59,Amazon,Shopping,France,iPhone,ApplePay,3522.49,3426.9,1,Completed,2025-08-26 22:50:54.136024
1aec7664,126.91,Spotify,Entertainment,UK,iPhone,ApplePay,3622.25,3495.34,1,Failed,2025-09-08 22:37:08.093827
e20c6055,111.32,Netflix,Subscriptions,Germany,iPhone,Transfer,8893.45,8782.13,1,Failed,2025-07-17 09:03:53.426543
37d5f8cd,97.82,IKEA,Food,UK,MacOS,Transfer,7842.78,7744.96,1,Pending,2025-07-31 06:32:17.710191
fd5030c7,39.2,Shell,Entertainment,Spain,Windows,GooglePay,1783.96,1744.76,1,Completed,2025-07-16 02:31:16.712667
26dbb751,93.94,Spotify,Fuel,France,Android,GooglePay,9005.83,8911.89,1,Completed,2025-08-18 02:32:49.004102
6d383827,97.58,Shell,Fuel,Spain,MacOS,GooglePay,249.6,152.02,1,Pending,2025-08-04 07:44:14.591292
6d383827,37.14,Netflix,Entertainment,Germany,MacOS,Card,1775.92,1738.78,1,Failed,2025-07-15 20:24:25.427601
2fe9e4d1,191.95,Apple,Food,Spain,iPhone,Card,6589.22,6397.27,1,Failed,2025-08-22 23:18:56.230012
3bd33b5f,108.43,IKEA,Food,France,MacOS,ApplePay,2397.84,2289.41,1,Failed,2025-08-09 15:06:44.343718
276acd2c,21.52,Netflix,Food,France,Windows,Transfer,3388.92,3367.4,1,Failed,2025-08-07 17:10:35.412817
